mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
8.258,66.450,1.419,0.631,1.000,1.000,3.000,123.963,676.990,2305.174,27513.067,24.993,95.290,470.280,2024.587,2686.650,7452.080,979.850,3755.040,2615.150,28680.764,3.880,29.391
10.680,78.138,1.375,0.651,1.000,1.000,2.700,123.314,677.065,2040.466,27457.893,23.990,95.660,311.480,1830.363,200.500,4722.900,654.700,2588.920,2261.493,28557.129,3.237,29.007
10.920,82.714,1.125,0.193,1.000,1.000,1.000,121.537,673.114,1046.289,868.867,22.083,89.377,116.197,79.370,120.550,1385.360,416.450,701.620,307.027,2503.127,1.003,4.394
11.500,77.667,1.043,0.042,1.000,1.000,1.000,40.085,103.280,643.053,390.804,11.593,33.583,68.237,34.377,92.450,132.580,266.100,552.720,147.790,1067.640,0.693,2.708
12.043,122.737,1.045,0.043,1.000,1.000,1.000,39.886,97.910,643.053,390.804,11.630,31.557,68.237,34.377,91.000,132.580,248.150,552.720,145.800,1067.135,0.683,2.685
14.000,254.100,1.053,0.050,1.000,1.000,1.000,35.802,93.993,643.053,390.804,9.927,28.383,68.237,34.377,80.000,131.000,235.000,552.720,140.923,1066.858,0.637,2.650
15.667,343.667,1.059,0.055,1.000,1.000,1.000,35.457,80.791,643.053,390.804,9.260,22.700,68.237,34.377,80.000,131.000,169.700,552.720,134.573,1066.161,0.597,2.633
16.588,394.595,1.125,0.109,1.000,1.000,1.500,35.316,63.468,643.053,390.804,9.430,19.953,68.237,34.377,80.000,131.000,135.700,267.960,131.997,1064.881,0.583,2.580
19.000,438.667,1.071,0.066,1.000,1.000,1.000,22.543,59.508,350.297,135.029,7.190,17.623,28.620,9.793,40.000,131.000,120.450,251.300,63.227,481.353,0.407,1.479
19.000,421.867,1.071,0.066,1.000,1.000,1.000,23.149,59.815,265.599,128.995,7.323,17.923,15.360,7.460,40.000,131.000,119.050,235.320,48.067,400.748,0.387,1.425
22.077,574.686,1.083,0.076,1.000,1.000,1.000,22.456,58.629,265.599,128.995,7.457,18.143,15.360,7.460,40.000,91.800,117.100,221.280,48.420,400.367,0.393,1.409
22.077,766.533,1.083,0.076,1.000,1.000,1.000,23.485,68.848,265.599,128.995,7.760,19.527,15.360,7.460,40.000,131.000,114.150,251.520,50.107,402.137,0.397,1.416
29.000,871.400,1.111,0.099,1.000,1.000,1.200,21.908,60.821,265.599,128.995,6.923,16.813,15.360,7.460,40.000,91.800,114.000,203.960,46.557,400.464,0.357,1.365
36.500,690.250,1.143,0.122,1.000,1.000,1.400,21.332,58.149,265.599,128.995,6.390,14.993,15.360,7.460,40.000,91.800,106.400,144.200,44.203,399.969,0.327,1.337
32.333,520.667,1.125,0.109,1.000,1.000,1.300,21.810,57.951,265.599,128.995,6.257,14.563,15.360,7.460,40.000,131.000,106.400,144.200,43.640,400.036,0.320,1.343
32.333,534.000,1.125,0.109,1.000,1.000,1.300,22.347,57.869,265.599,128.995,6.560,14.623,15.360,7.460,40.000,131.000,101.650,144.200,44.003,400.044,0.327,1.347
32.333,506.889,1.125,0.109,1.000,1.000,1.300,21.332,59.348,265.599,128.995,6.390,15.453,15.360,7.460,40.000,91.800,114.000,203.720,44.663,400.157,0.330,1.342
32.444,517.580,1.000,0.000,1.000,1.000,1.000,20.542,57.744,265.599,128.995,5.590,13.597,15.360,7.460,40.000,91.800,101.650,144.920,42.007,399.836,0.290,1.311
36.625,525.234,1.000,0.000,1.000,1.000,1.000,21.512,54.111,269.807,129.226,5.627,12.080,15.603,7.473,40.000,91.800,98.050,117.140,40.783,417.559,0.283,1.544
36.625,162.484,1.000,0.000,1.000,1.000,1.000,20.517,54.395,269.807,129.226,5.190,11.723,15.603,7.473,40.000,91.000,98.050,125.360,39.990,417.551,0.270,1.537
32.444,102.914,1.000,0.000,1.000,1.000,1.000,20.814,53.669,269.807,129.226,4.790,10.617,15.603,7.473,40.000,91.800,93.100,125.360,38.483,417.540,0.250,1.537
28.800,285.360,1.333,0.444,1.000,1.000,2.200,45.074,44.781,1316.247,4551.328,6.853,7.957,174.573,450.193,40.000,196.660,92.150,247.240,639.577,5713.091,1.150,8.874
17.500,319.375,1.333,0.356,1.000,1.000,2.000,66.018,62.959,1458.284,4551.590,10.073,11.033,259.627,470.683,131.000,4847.680,114.500,1413.520,751.417,5753.894,1.367,8.963
16.412,272.830,1.312,0.340,1.000,1.000,2.000,65.649,62.680,1487.160,4551.466,9.637,10.653,285.243,475.390,131.750,4847.680,194.350,1413.520,780.923,5761.979,1.403,8.976
16.412,248.830,1.312,0.340,1.000,1.000,2.000,65.670,62.922,1487.160,4551.466,9.770,11.010,285.243,475.390,131.750,4847.680,194.350,1413.520,781.413,5761.919,1.410,8.975
15.444,255.025,1.294,0.325,1.000,1.000,2.000,65.855,63.159,1487.160,4551.466,9.770,11.063,285.243,475.390,131.750,4847.680,194.350,1413.520,781.467,5761.922,1.410,8.977
15.389,233.793,1.278,0.312,1.000,1.000,2.000,66.251,68.705,1487.160,4551.466,10.483,12.583,285.243,475.390,131.750,4847.680,207.950,1413.520,783.700,5761.718,1.437,8.979
14.579,196.770,1.278,0.312,1.000,1.000,2.000,66.007,69.416,1487.160,4551.466,10.313,12.910,285.243,475.390,131.750,4847.680,226.950,1413.520,783.857,5761.704,1.437,8.979
13.800,176.360,1.263,0.299,1.000,1.000,2.000,66.719,71.675,1487.725,4551.391,10.857,14.197,285.433,475.193,149.400,4775.160,330.500,1413.520,785.680,5760.542,1.457,8.942
13.095,191.991,1.250,0.287,1.000,1.000,2.000,68.283,74.240,1487.725,4551.391,12.100,15.823,285.433,475.193,215.250,4775.160,367.550,1413.520,788.550,5760.262,1.493,8.947
12.455,146.793,1.238,0.277,1.000,1.000,2.000,83.769,76.507,1518.445,4553.490,14.537,16.613,311.560,488.043,2036.050,5712.040,653.550,1549.920,830.753,5782.054,1.587,9.060
13.900,151.290,1.100,0.090,1.000,1.000,1.100,74.015,68.459,830.373,264.392,11.817,14.417,152.590,45.323,134.600,3752.600,204.400,924.740,224.147,1094.070,0.653,2.553
20.429,246.102,1.000,0.000,1.000,1.000,1.000,56.450,52.432,526.522,223.800,8.910,11.450,67.537,24.833,80.000,214.500,107.350,363.020,112.730,781.761,0.443,2.151
20.500,433.250,1.000,0.000,1.000,1.000,1.000,56.931,54.426,425.463,216.737,9.490,12.643,41.920,20.127,42.000,134.800,107.350,245.540,84.180,691.900,0.413,2.084
20.500,382.821,1.000,0.000,1.000,1.000,1.000,56.692,56.172,425.463,216.737,9.587,13.717,41.920,20.127,42.000,134.800,113.050,249.460,85.350,691.959,0.427,2.088
16.706,355.502,1.000,0.000,1.000,1.000,1.000,57.502,80.087,425.463,216.737,10.930,20.100,41.920,20.127,80.000,134.800,114.000,511.220,93.077,694.339,0.507,2.178
14.842,337.291,1.000,0.000,1.000,1.000,1.000,58.004,87.096,425.463,216.737,11.597,22.970,41.920,20.127,80.000,134.800,125.150,522.520,96.613,695.213,0.550,2.229
12.636,299.050,1.048,0.045,1.000,1.000,1.000,71.967,94.284,519.706,241.280,15.443,27.577,66.517,30.643,120.000,223.320,288.700,678.960,140.180,813.662,0.710,2.484
13.286,311.537,1.050,0.048,1.000,1.000,1.000,71.060,93.683,474.252,209.785,14.863,27.477,60.537,25.520,95.300,223.320,249.950,646.580,128.397,740.174,0.650,2.257
13.286,300.680,1.050,0.048,1.000,1.000,1.000,70.215,95.088,474.252,209.785,14.200,27.383,60.537,25.520,94.000,174.980,249.950,646.580,127.640,740.215,0.637,2.252
14.000,334.300,1.053,0.050,1.000,1.000,1.000,50.778,93.492,345.613,114.041,11.907,26.977,34.410,12.670,80.700,134.800,235.450,548.260,85.963,486.857,0.550,1.693
14.789,217.219,1.056,0.052,1.000,1.000,1.000,49.955,98.835,345.613,114.041,11.593,28.613,34.410,12.670,80.000,134.000,244.200,561.940,87.287,487.625,0.543,1.668
13.286,138.680,1.050,0.048,1.000,1.000,1.000,50.609,105.746,345.613,114.041,12.127,31.627,34.410,12.670,80.700,134.000,276.550,608.440,90.833,489.340,0.580,1.747
12.043,122.998,1.045,0.043,1.000,1.000,1.000,67.546,111.461,468.362,178.266,15.280,34.360,60.050,23.520,120.000,234.260,419.450,646.580,133.210,667.150,0.713,2.177
12.043,129.607,1.045,0.043,1.000,1.000,1.000,67.780,110.788,468.362,178.266,15.327,33.527,60.050,23.520,120.000,234.260,419.450,646.580,132.423,667.131,0.707,2.176
15.611,159.127,1.056,0.052,1.000,1.000,1.000,66.846,95.938,468.362,178.266,13.547,26.940,60.050,23.520,95.300,234.260,276.550,630.320,124.057,665.128,0.613,2.084
17.750,184.312,1.067,0.062,1.000,1.000,1.000,66.414,84.915,468.362,178.266,12.480,22.017,60.050,23.520,94.000,234.260,168.900,630.320,118.067,663.865,0.547,2.014
22.154,186.592,1.000,0.000,1.000,1.000,1.000,51.075,75.897,360.513,142.787,8.813,17.083,35.453,13.003,41.600,134.000,114.000,450.220,74.353,509.910,0.387,1.672
22.154,213.053,1.000,0.000,1.000,1.000,1.000,51.279,74.569,418.753,188.249,8.993,16.187,41.423,18.290,72.400,134.000,114.000,450.220,84.893,613.925,0.430,1.961
26.364,161.868,1.000,0.000,1.000,1.000,1.000,50.280,69.806,418.753,188.249,8.413,14.710,41.423,18.290,40.000,134.000,106.200,282.640,82.837,613.175,0.407,1.920
20.500,248.107,1.000,0.000,1.000,1.000,1.000,69.708,77.799,526.647,234.040,11.623,17.833,67.197,29.007,80.700,147.040,114.000,624.120,125.660,801.936,0.533,2.373
17.750,235.688,1.067,0.062,1.000,1.000,1.000,70.304,78.277,653.379,304.580,12.203,17.990,89.787,40.377,120.000,828.240,114.000,634.860,160.357,989.827,0.627,2.650
19.000,263.600,1.071,0.066,1.000,1.000,1.000,69.692,70.347,653.379,304.580,11.490,16.020,89.787,40.377,94.000,828.240,114.000,628.980,157.673,989.292,0.593,2.602
18.867,259.049,1.214,0.311,1.000,1.000,1.700,57.917,59.255,682.920,317.334,9.687,13.293,100.150,44.853,80.700,2464.640,114.150,657.600,167.983,1017.960,0.580,2.538
18.867,253.182,1.214,0.311,1.000,1.000,1.700,58.321,72.866,682.920,317.334,10.087,16.163,100.150,44.853,94.000,2464.640,120.000,696.800,171.253,1018.723,0.610,2.602
17.625,268.609,1.200,0.293,1.000,1.000,1.600,58.775,72.863,682.920,317.334,10.667,16.640,100.150,44.853,95.300,2464.640,120.000,696.800,172.310,1018.640,0.630,2.610
18.867,248.116,1.214,0.311,1.000,1.000,1.700,58.344,72.665,682.920,317.334,10.220,16.273,100.150,44.853,94.000,2464.640,120.000,696.800,171.497,1018.678,0.617,2.603
18.800,250.027,1.200,0.293,1.000,1.000,1.600,58.704,80.389,682.920,317.334,10.753,18.983,100.150,44.853,95.300,2464.640,123.550,696.800,174.740,1019.035,0.650,2.638
14.632,214.127,1.222,0.284,1.000,1.000,2.000,79.613,91.104,831.833,359.201,14.523,23.173,133.940,54.723,134.000,3233.140,315.450,984.440,226.360,1219.765,0.780,2.980
14.579,193.191,1.211,0.271,1.000,1.000,2.000,79.949,96.167,831.833,359.201,14.970,24.507,133.940,54.723,134.000,3233.140,333.250,984.440,228.140,1220.049,0.800,3.008
17.562,204.871,1.267,0.329,1.000,1.000,2.000,63.502,89.832,770.314,332.024,11.313,20.927,108.167,44.007,120.000,2469.540,244.050,696.760,184.413,1109.181,0.660,2.672
17.625,215.859,1.200,0.293,1.000,1.000,1.600,63.334,83.398,666.834,268.939,11.313,19.723,85.577,32.637,94.000,219.600,175.800,651.800,149.250,945.761,0.587,2.413
17.625,216.484,1.200,0.293,1.000,1.000,1.600,63.671,81.492,666.834,268.939,11.360,18.327,85.577,32.637,95.300,219.600,122.750,651.800,147.900,945.781,0.577,2.415
22.077,214.994,1.083,0.076,1.000,1.000,1.000,59.057,81.080,552.949,213.575,9.697,17.750,49.573,17.310,72.400,134.000,99.750,569.000,94.330,794.413,0.450,2.098
22.077,192.994,1.083,0.076,1.000,1.000,1.000,58.606,68.912,552.949,213.575,9.030,14.283,49.573,17.310,41.600,134.000,95.200,251.480,90.197,793.145,0.407,2.012
20.429,196.673,1.077,0.071,1.000,1.000,1.000,59.216,81.295,552.949,213.575,10.097,18.580,49.573,17.310,80.000,134.000,114.000,569.000,95.560,794.410,0.470,2.100
17.750,180.438,1.067,0.062,1.000,1.000,1.000,60.296,90.334,552.949,213.575,11.343,21.850,49.573,17.310,80.700,134.520,114.150,569.300,100.077,795.570,0.533,2.197
17.750,172.438,1.067,0.062,1.000,1.000,1.000,60.226,94.682,552.949,213.575,11.430,23.153,49.573,17.310,80.700,134.520,114.150,569.300,101.467,796.140,0.553,2.232
17.750,153.812,1.067,0.062,1.000,1.000,1.000,36.706,97.075,336.827,167.393,9.947,24.100,27.157,11.617,80.700,134.000,117.100,566.060,72.820,535.133,0.520,2.061
16.529,145.661,1.188,0.277,1.000,1.000,1.500,59.856,99.609,412.424,180.864,12.963,25.987,46.837,17.230,120.000,160.000,122.650,653.300,103.017,642.490,0.597,2.205
16.529,152.720,1.188,0.277,1.000,1.000,1.500,60.033,99.567,412.424,180.864,13.277,26.060,46.837,17.230,120.000,160.000,122.650,653.300,103.403,642.463,0.603,2.206
18.867,317.182,1.214,0.311,1.000,1.000,1.700,59.508,99.080,412.424,180.864,12.563,25.097,46.837,17.230,95.300,160.000,120.000,653.300,101.727,642.400,0.577,2.189
18.867,376.116,1.214,0.311,1.000,1.000,1.700,59.541,99.220,412.424,180.864,12.830,25.727,46.837,17.230,95.300,160.000,120.000,653.300,102.623,642.352,0.590,2.191
16.529,368.249,1.188,0.277,1.000,1.000,1.500,60.240,105.985,412.424,180.864,13.543,28.477,46.837,17.230,120.000,160.000,177.200,653.300,106.087,643.553,0.627,2.251
16.471,380.602,1.176,0.263,1.000,1.000,1.400,74.459,107.859,514.374,228.100,15.703,29.383,71.443,27.933,120.000,210.760,271.900,683.140,144.463,816.851,0.717,2.641
16.471,361.426,1.176,0.263,1.000,1.000,1.400,74.138,102.126,514.374,228.100,14.770,26.243,71.443,27.933,120.000,210.760,257.550,683.140,140.390,816.240,0.663,2.589
17.562,375.871,1.188,0.277,1.000,1.000,1.500,73.712,100.178,514.374,228.100,14.237,25.533,71.443,27.933,120.000,210.760,259.450,653.600,139.147,815.815,0.627,2.530
17.562,394.871,1.188,0.277,1.000,1.000,1.500,73.649,105.510,514.374,228.100,14.417,26.630,71.443,27.933,120.000,210.760,257.100,688.220,140.423,816.186,0.617,2.480
18.933,398.596,1.143,0.265,1.000,1.000,1.000,69.710,109.354,473.831,203.643,12.350,24.843,59.843,23.930,94.000,134.520,132.900,944.700,120.967,746.469,0.540,2.259
20.500,297.250,1.000,0.000,1.000,1.000,1.000,51.150,102.687,410.350,191.975,9.467,22.307,40.163,18.317,42.000,134.000,114.150,563.300,90.253,656.299,0.463,2.085
19.067,167.129,1.000,0.000,1.000,1.000,1.000,51.394,102.783,410.350,191.975,9.467,22.307,40.163,18.317,42.000,134.000,114.150,563.300,90.253,656.376,0.463,2.092
