mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,60_percentile_activity_duration,90_percentile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
10.750,181.854,1.750,2.021,1.000,3.000,502.234,1666.098,2734.795,59512.528,61.097,169.090,532.823,4650.107,2802.950,7779.440,1786.300,16859.980,5413.117,61592.687,6.617,60.384
8.643,129.658,2.071,4.138,1.200,3.900,779.688,2472.858,2736.827,59527.498,164.517,453.960,544.167,4764.583,3774.200,7779.440,9972.600,18479.860,5927.227,61627.144,7.683,60.528
6.875,116.859,2.581,11.663,2.000,6.000,735078.500,62105.393,2789.125,68120.335,93800.557,6272.377,579.703,6698.053,6170.650,586955.560,17689.900,39229.800,107350.690,766860.572,31.907,186.307
6.938,117.871,2.438,10.871,2.000,3.000,735071.486,64534.700,2866.024,113162.036,93857.610,7317.787,528.697,11728.603,7914.550,586955.560,17777.200,208368.040,113432.697,771679.071,37.607,204.615
5.889,89.432,2.444,9.969,2.000,4.000,735064.515,64531.830,2864.698,113162.510,93913.590,7346.267,521.617,11723.727,7914.550,586955.560,17777.200,208368.040,113505.200,771668.678,37.960,204.563
5.150,51.828,2.410,9.370,2.000,4.200,735063.709,64530.159,2864.698,113162.510,93919.910,7361.787,521.617,11723.727,7914.550,586955.560,17777.200,208368.040,113527.040,771665.482,38.160,204.531
4.455,35.430,2.419,8.708,2.000,4.800,735062.623,64528.014,2864.698,113162.510,93928.427,7381.927,521.617,11723.727,7914.550,586955.560,17777.200,208368.040,113555.697,771661.290,38.393,204.492
4.311,32.481,2.409,8.514,2.000,4.700,735062.383,64527.870,2864.698,113162.510,93930.307,7383.197,521.617,11723.727,7914.550,586955.560,17777.200,208368.040,113558.847,771660.827,38.463,204.481
4.152,26.651,2.370,8.190,2.000,4.500,771408.268,64529.639,2864.698,113162.510,107781.293,7457.877,521.617,11723.727,10208.800,1097818.480,18045.750,208368.040,127484.513,806351.703,41.500,210.405
4.535,32.016,2.442,8.665,2.000,4.800,771410.026,64531.333,2858.671,113163.280,107768.507,7408.120,509.040,11715.400,10208.800,1097818.480,18045.750,208368.040,127401.067,806364.278,41.273,210.433
5.526,45.355,2.368,9.443,2.000,4.300,771415.471,64525.114,1041.421,96605.189,107728.543,7307.877,96.600,7296.413,4536.250,1097818.480,13283.550,29263.540,122429.433,804768.059,35.777,202.591
6.054,67.619,2.054,8.159,1.000,3.400,771429.548,64529.241,1031.160,96598.966,107625.933,7025.460,85.257,7181.937,4288.850,1097818.480,9661.650,23774.560,121918.587,804839.350,34.753,202.689
7.485,91.341,1.656,1.226,1.000,2.900,239484.582,17939.439,859.739,90754.473,13989.760,1206.237,49.720,5248.467,414.050,2662.600,839.750,1709.440,20494.183,257767.799,10.520,100.869
8.161,91.490,1.567,1.312,1.000,3.100,239486.870,1183.250,525.377,349.175,13936.540,162.027,30.383,20.193,302.450,864.620,612.300,1282.660,14149.143,240625.582,4.460,51.955
8.533,91.316,1.467,1.116,1.000,2.100,239489.282,1168.689,863.710,4104.824,13885.723,140.847,128.010,365.740,369.600,2743.540,839.750,1871.400,14520.320,240647.213,4.827,52.316
8.828,99.039,1.517,1.077,1.000,2.000,239489.542,1165.306,902.008,4107.403,13881.157,132.817,149.850,377.693,288.850,3972.460,698.150,2577.200,14541.517,240646.352,4.807,52.324
9.778,96.173,1.385,0.698,1.000,2.000,239490.024,1159.342,1313.148,4781.945,13872.737,115.633,218.850,571.960,214.600,4586.260,698.150,3542.400,14779.180,240653.594,5.017,52.553
8.323,79.509,1.400,0.640,1.000,2.000,239490.015,1159.712,1359.905,4781.855,13872.877,120.357,261.337,585.210,2317.450,4725.420,762.000,3542.400,14839.780,240650.421,5.157,52.550
7.176,76.145,1.697,2.211,1.000,2.000,120.946,1668.532,3001.186,24870.924,31.390,162.653,549.850,2272.153,2794.100,6898.160,1327.100,20692.520,3016.047,27790.683,4.907,33.312
6.158,61.186,1.737,2.247,1.000,2.900,121.425,1668.352,3006.355,24869.683,35.367,175.670,583.923,2292.940,2794.100,6898.160,1530.150,20692.520,3087.900,27786.723,5.193,33.297
5.561,37.417,1.800,2.860,1.000,2.300,120.480,1667.842,3007.346,24869.505,36.120,182.130,590.750,2295.200,2794.100,6898.160,1530.150,20692.520,3104.200,27785.395,5.257,33.282
4.867,29.493,1.800,2.604,1.000,2.600,120.857,1667.645,3010.224,24868.969,39.330,192.143,611.227,2302.007,2794.100,6898.160,1530.150,20692.520,3144.707,27782.709,5.457,33.271
4.180,14.828,1.784,2.561,1.000,3.000,121.578,1667.984,3011.121,24868.614,42.950,205.837,617.987,2310.133,2794.100,6898.160,1670.300,20692.520,3176.907,27780.531,5.677,33.257
3.868,12.567,1.792,2.466,1.000,2.800,104.399,1666.990,2970.948,24868.022,41.527,214.123,587.603,2289.940,2714.100,4980.880,1530.150,20692.520,3133.193,27767.490,5.643,33.175
3.561,11.544,1.732,2.160,1.000,2.000,79.615,1665.368,2906.251,24556.479,39.973,217.707,489.977,1944.393,2168.150,4140.940,1098.600,2611.500,2692.050,27424.344,5.083,32.567
3.424,7.193,1.661,2.088,1.000,2.000,79.971,1665.918,2897.159,24556.810,41.040,224.860,468.137,1932.440,2129.950,4140.940,1004.800,2447.000,2666.477,27422.898,5.053,32.541
3.000,4.769,1.641,1.949,1.000,2.000,80.190,1665.099,2741.750,24445.230,44.963,236.933,399.137,1738.173,2087.050,2836.220,830.700,1667.720,2419.207,27254.141,4.803,32.157
3.143,5.805,1.619,1.982,1.000,2.000,79.819,1665.809,2721.014,24445.873,45.040,243.050,356.650,1724.923,2068.950,2191.960,828.100,1667.720,2369.663,27253.738,4.720,32.152
3.219,6.265,1.446,1.139,1.000,2.000,46.053,175.454,366.963,240.149,39.330,139.260,68.137,37.980,163.550,2087.000,665.750,1053.860,284.707,637.327,2.120,2.504
