mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
9.214,102.740,1.500,0.821,1.000,1.000,2.300,57.244,140.173,1935.232,95954.571,17.637,53.803,306.107,6954.563,921.600,3239.040,859.400,9706.620,7332.110,97236.783,7.913,89.738
8.467,95.582,1.586,1.001,1.000,1.000,3.000,58.611,152.980,2234.770,95952.288,19.503,60.520,436.623,6992.230,2179.200,7357.460,1271.750,9706.620,7508.877,97234.209,8.337,89.752
7.844,93.319,1.581,0.953,1.000,1.000,3.000,59.766,148.388,2248.605,95951.572,20.213,60.230,464.500,7002.963,2259.800,7357.460,1590.400,9706.620,7547.907,97232.045,8.417,89.748
6.861,79.120,1.514,0.878,1.000,1.000,2.600,72.385,152.524,2255.933,95951.198,22.717,66.587,482.800,7008.413,2696.750,7357.460,1590.400,9706.620,7580.517,97230.125,8.513,89.742
6.944,77.164,1.429,0.816,1.000,1.000,2.000,57.021,155.762,2240.729,95952.112,20.203,67.377,451.647,6994.777,2185.700,7357.460,1190.050,9706.620,7534.003,97232.741,8.400,89.745
6.368,65.443,1.568,1.327,1.000,1.000,2.400,84.287,502.204,2573.824,127397.938,24.547,95.797,601.837,11962.467,3240.600,10339.420,2052.650,19980.880,12684.647,129005.537,13.433,119.873
6.342,62.699,1.595,1.430,1.000,1.000,2.800,84.245,498.525,2661.621,127394.692,24.060,90.357,674.797,12000.993,4201.050,10339.420,2396.950,19980.880,12790.207,128999.390,13.620,119.868
6.103,46.092,1.590,1.370,1.000,1.000,2.400,84.063,525.942,2907.280,127456.297,23.207,96.343,821.837,12381.660,5694.400,12750.040,3284.950,23770.920,13323.047,129092.522,14.397,120.154
5.595,30.527,1.585,1.316,1.000,1.000,2.000,84.667,526.068,2933.852,128191.017,24.493,99.087,859.630,13223.537,5976.700,12750.040,3699.650,37440.340,14206.747,129841.235,15.357,121.018
5.634,36.086,1.683,1.436,1.000,1.000,4.000,94.688,525.122,2834.983,128191.674,27.047,97.040,841.347,13211.560,5694.400,11761.400,3284.950,37440.340,14176.993,129839.303,15.287,120.994
6.943,50.054,1.676,1.337,1.000,1.000,3.400,94.444,523.381,2311.637,85512.972,25.527,90.470,623.540,6303.263,5038.950,9460.940,2239.750,7006.980,7042.800,86618.463,8.343,81.871
7.515,54.916,1.576,1.214,1.000,1.000,2.000,93.613,519.942,2061.975,85538.740,23.527,82.750,523.140,6418.400,4294.100,6669.820,2170.450,12210.180,7047.817,86650.191,8.183,81.922
7.781,56.296,1.645,1.326,1.000,1.000,3.000,92.685,518.951,2088.484,85537.385,22.330,78.693,545.513,6442.527,4621.650,6669.820,2320.000,12210.180,7089.063,86649.009,8.200,81.922
9.036,58.534,1.679,1.432,1.000,1.000,3.300,81.967,515.971,2081.117,85537.768,19.030,71.367,527.213,6437.077,4621.650,6669.820,2320.000,12210.180,7054.687,86651.102,8.073,81.927
9.808,86.155,1.731,1.504,1.000,1.000,3.500,83.065,522.637,2081.117,85537.768,18.717,70.640,527.213,6437.077,4621.650,6669.820,2320.000,12210.180,7053.647,86651.242,8.080,81.934
9.214,83.883,1.500,0.750,1.000,1.000,2.300,74.615,214.267,1673.743,15439.000,17.960,47.787,411.360,1482.090,3402.900,5956.440,1824.750,3585.780,1959.197,16193.228,3.227,18.568
7.969,73.343,1.452,0.699,1.000,1.000,2.000,115.579,409.853,2671.009,243249.438,23.313,67.393,498.800,15506.747,2932.000,5385.040,1712.350,3785.640,16096.253,245915.562,16.637,234.392
8.000,73.161,1.733,3.062,1.000,1.000,3.100,126.061,433.263,8768.750,276716.006,25.843,69.673,1438.157,33657.367,4614.050,17355.140,3589.950,443095.560,35191.040,282360.345,35.500,271.244
8.655,63.329,1.750,3.259,1.000,1.000,3.300,125.413,432.935,8762.391,276438.645,24.387,66.850,1400.363,32815.490,3676.500,17355.140,3488.950,443095.560,34307.090,282082.615,34.540,270.931
8.793,72.095,1.607,3.096,1.000,1.000,2.300,118.157,432.577,8761.137,276440.187,21.620,64.287,1369.827,32802.280,3059.000,17355.140,3488.950,443095.560,34258.013,282088.177,34.410,270.945
7.935,60.189,1.688,3.090,1.000,1.000,2.900,127.271,433.061,8876.804,276678.295,25.840,67.403,1602.353,33754.433,6535.000,19841.400,9017.000,443095.560,35450.030,282335.330,36.050,271.322
7.968,58.612,1.767,3.246,1.000,1.000,3.100,127.537,435.642,8874.338,276685.738,25.803,69.043,1583.097,33604.847,6535.000,19841.400,3849.950,443095.560,35282.790,282342.734,35.803,271.328
7.781,57.921,1.645,3.132,1.000,1.000,2.000,127.690,436.601,8873.360,276688.653,26.210,70.650,1551.537,33579.917,6535.000,19841.400,3755.900,443095.560,35228.313,282349.002,35.763,271.334
8.333,47.756,1.724,3.303,1.000,1.000,2.400,127.692,436.504,8873.360,276688.653,26.213,70.663,1551.537,33579.917,6535.000,19841.400,3755.900,443095.560,35228.330,282348.999,35.760,271.335
8.032,45.967,1.700,3.210,1.000,1.000,2.200,127.013,428.439,8873.360,276688.653,26.403,69.807,1551.537,33579.917,6535.000,19841.400,3755.900,443095.560,35227.663,282349.065,35.740,271.335
8.333,47.756,1.724,3.303,1.000,1.000,2.400,116.791,427.807,9709.262,276781.411,23.577,69.417,1765.427,34114.867,6620.700,23797.140,9017.000,443095.560,35973.287,282573.269,36.933,272.051
9.481,52.768,1.692,3.444,1.000,1.000,2.000,76.502,247.777,9478.668,134905.220,18.360,50.330,1605.027,20051.683,6535.000,19841.400,3276.150,408910.540,21725.400,142130.695,23.317,141.305
9.464,53.892,1.296,0.653,1.000,1.000,2.000,57.048,115.963,4357.520,16744.454,16.160,42.340,518.630,1520.397,136.000,6536.480,645.450,2234.100,2097.527,19963.877,3.657,28.096
8.966,55.688,1.379,0.856,1.000,1.000,2.000,72.508,129.182,4372.215,16746.088,20.073,49.783,551.627,1549.760,860.550,6536.480,778.300,2992.620,2171.243,19973.722,3.937,28.228
9.286,66.133,1.481,1.435,1.000,1.000,2.000,72.139,129.541,4373.548,16745.822,20.023,51.470,560.583,1555.970,2591.450,6536.480,900.800,2992.620,2188.047,19972.863,3.973,28.225
9.815,78.077,1.346,0.996,1.000,1.000,2.000,54.434,127.765,4072.827,9348.659,16.923,51.647,319.730,596.373,134.000,2595.060,371.550,976.980,984.673,13418.574,2.363,22.045
9.429,85.602,1.286,0.918,1.000,1.000,2.000,53.929,118.699,4069.508,9348.729,17.100,50.467,308.870,593.157,134.000,797.440,344.400,791.760,969.593,13418.063,2.347,22.040
