mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
3.709,21.879,1.745,2.044,1.000,1.000,3.600,296438.236,1870.213,1279.114,9151.271,29722.970,347.560,424.767,910.933,2965.300,10849.800,2211.600,8090.560,31406.230,298088.890,27.600,238.067
3.643,15.551,1.714,2.026,1.000,1.000,3.500,296437.177,1724.473,1279.114,9151.271,29493.713,284.417,424.767,910.933,2870.100,9069.700,2040.350,5076.800,31113.830,298091.784,27.213,238.061
3.855,17.179,1.600,1.258,1.000,1.000,3.000,296437.383,1724.746,1022.896,9149.213,29491.637,276.487,320.490,859.863,2800.600,7447.300,1841.700,4359.440,30948.477,298106.620,26.823,238.088
4.231,19.139,1.569,1.265,1.000,1.000,3.000,296437.624,1725.228,1013.778,9149.841,29489.207,269.227,290.047,844.700,2800.600,7447.300,1681.150,4359.440,30893.180,298112.114,26.647,238.105
4.714,38.898,1.438,1.079,1.000,1.000,2.000,223657.374,1188.148,1018.050,9150.617,13271.860,148.080,274.950,840.477,2176.300,4651.840,1565.300,2403.860,14535.367,224904.777,13.250,178.111
5.535,59.970,1.476,1.202,1.000,1.000,2.000,223657.539,1188.279,1018.050,9150.617,13269.057,143.097,274.950,840.477,2176.300,4651.840,1565.300,2403.860,14527.580,224905.274,13.130,178.118
5.857,70.122,1.286,0.299,1.000,1.000,2.000,223657.658,1188.076,640.428,309.555,13267.057,136.397,157.513,73.000,2141.400,2867.720,822.800,2139.900,13633.967,224745.839,11.863,177.786
6.946,95.565,1.194,0.212,1.000,1.000,2.000,35.969,72.604,569.700,263.643,14.500,27.670,114.717,51.150,152.400,2186.480,382.050,877.140,208.037,826.862,0.973,2.608
7.139,112.786,1.194,0.212,1.000,1.000,2.000,35.635,65.866,558.599,253.407,14.157,24.883,107.873,46.783,134.850,2186.480,274.950,821.120,193.697,801.031,0.920,2.507
8.613,128.173,1.100,0.090,1.000,1.000,1.100,31.989,54.076,519.186,249.583,11.033,18.060,80.830,37.883,123.550,1978.900,202.550,706.020,147.807,762.549,0.740,2.436
7.970,122.332,1.121,0.107,1.000,1.000,1.800,32.924,58.923,550.703,260.546,12.100,20.963,92.423,42.023,134.000,2223.160,235.250,706.320,167.510,813.447,0.810,2.515
7.970,125.848,1.156,0.132,1.000,1.000,2.000,33.299,59.087,550.703,260.546,12.290,20.893,92.423,42.023,134.000,2223.160,246.650,706.320,167.630,813.443,0.807,2.508
7.765,122.768,1.091,0.083,1.000,1.000,1.000,31.881,61.753,550.703,260.546,11.033,20.710,92.423,42.023,134.000,2223.160,259.050,706.320,166.190,813.673,0.763,2.485
9.679,151.861,1.074,0.069,1.000,1.000,1.000,29.938,59.995,442.704,217.943,10.130,19.020,60.580,27.690,123.000,211.960,183.250,431.580,117.420,668.859,0.613,2.160
10.074,176.661,1.077,0.071,1.000,1.000,1.000,29.982,60.095,359.631,170.508,10.263,19.293,45.497,19.773,95.450,134.800,171.600,335.860,94.827,541.772,0.550,1.811
8.281,136.077,1.129,0.177,1.000,1.000,1.000,32.061,63.214,478.011,274.183,12.053,22.553,81.543,42.600,134.000,2086.540,246.650,667.740,158.750,749.371,0.753,2.342
7.735,110.136,1.121,0.167,1.000,1.000,1.000,31.621,69.398,478.011,274.183,12.397,25.617,81.543,42.600,134.000,2086.540,259.050,667.740,162.157,749.529,0.790,2.362
6.513,86.404,1.211,0.377,1.000,1.000,2.000,35.642,91.756,873.918,4351.129,14.397,32.337,151.997,325.397,151.050,2866.020,419.400,1659.000,524.127,4743.482,1.447,6.725
6.049,72.242,1.300,0.460,1.000,1.000,2.000,38.010,103.562,1023.521,8535.567,16.133,39.100,202.243,763.177,296.400,3880.040,656.100,2356.840,1020.653,9134.019,2.137,11.312
5.698,65.188,1.279,0.434,1.000,1.000,2.000,39.383,106.354,996.344,8535.342,17.393,41.737,182.803,752.413,165.800,2887.300,571.450,1969.740,994.347,9128.048,2.110,11.258
6.225,70.274,1.308,0.469,1.000,1.000,2.000,38.349,105.983,965.673,8535.586,16.670,41.133,156.747,743.403,151.050,2887.300,414.250,1969.740,957.953,9124.738,2.030,11.246
5.744,69.028,1.262,0.431,1.000,1.000,2.000,38.657,106.317,1017.768,8536.231,16.807,41.400,188.727,759.623,165.800,3888.440,571.450,2792.760,1006.557,9134.673,2.147,11.310
5.810,52.773,1.333,0.508,1.000,1.000,2.000,39.107,103.354,1131.785,9396.426,17.133,39.710,247.483,1000.770,2084.250,4590.840,867.150,2930.780,1305.097,10055.279,2.577,12.719
5.356,24.451,1.341,0.497,1.000,1.000,2.000,39.171,104.996,1131.785,9396.426,17.477,42.003,247.483,1000.770,2084.250,4590.840,867.150,2930.780,1307.733,10054.980,2.610,12.718
5.356,28.718,1.341,0.497,1.000,1.000,2.000,38.859,105.678,1131.785,9396.426,17.480,42.623,247.483,1000.770,2084.250,4590.840,867.150,2930.780,1308.357,10054.907,2.613,12.717
